,company_brand,founded,headquarter,sector,about_company,founders,investor,amount,series,year
2597,RupeeCircle,2015,Mumbai,"Financial Services, Lending, Peer to Peer",RupeeCircle is a new age finance company.,None,None,0.0,validation,2018-01-01
2598,Wooden Street,2015,Jaipur,"E-Commerce, Furniture, Home Decor, Interior Design, Internet",Woodenstreet.com ensures to fulfill customer’s unique furniture requirements by crafting one-of-a-kind furniture pieces.,None,None,1000000.0,early traction,2018-01-01
2599,The Ken,2015,Bangalore,Media and Entertainment,The Ken is India’s first subscriptions-only business news site,None,None,1500000.0,early traction,2018-01-01
2600,SaffronStays,2015,Mumbai,Media and Entertainment,SaffronStays connects travellers to India's Incredible hosts.,None,None,2000000.0,validation,2018-01-01
2601,Vebbler,2015,Bangalore,"File Sharing, Personalization, Social Media",A personal network for close people,None,None,0.0,validation,2018-01-01
2602,Foyr,2015,Pune,"Home Decor, Interior Design","Foyr.com is India's first online, automated interior designer",None,None,4200000.0,early traction,2018-01-01
2603,MEngage,2015,Jaipur,"Health Care, Medical Device, Mobile Apps",MEngage is a mass consumer engagement application for doctors on both android and IOS platforms.,None,None,175000.0,validation,2018-01-01
2604,Inner Being Wellness,2015,Hyderabad,"Health Care, Medical Device, Mobile Apps","Inner Being Wellness manufactures beauty, wellness, and nutrition products.",None,None,0.0,validation,2018-01-01
2605,Kobster,2015,Chennai,"E-Commerce, Facilities Support Services, Procurement, Supply Chain Management",Kobster is a pioneer of B2B eProcurement and an eMarketplace providing Corporates an end-to-end solution for their procure-to-pay cycle.,None,None,0.0,validation,2018-01-01
2606,Wishberry,2015,Mumbai,"Crowdfunding, Finance, Financial Services",Wishberry is a rewards-based crowdfunding platform that enables users to raise funds for their creative and innovative ideas.,None,None,0.0,early traction,2018-01-01
2607,McXtra,2015,Andheri,"Finance, Financial Services, Insurance",McXtra is a digital insurance broking startup.,None,None,1300000.0,validation,2018-01-01
2608,Magic Crate,2015,Bangalore,"Children, Education, Online Portals","Magic Crate is a theme based stimulating, fun and learning activity box for 4-8 year olds that is mailed to your doorstep every month.",None,None,0.0,validation,2018-01-01
2609,SmartVizX,2015,Noida,"Software, Virtual Reality",It is a Virtual Reality Solutions StartUp,None,None,1450000.0,validation,2018-01-01
2610,MySEODoc,2015,Delhi,"Software, Virtual Reality","SEO, PPC, Search Engine Marketing, Social Media Optimization, Content Marketing, Brand Reputation Management",None,None,0.0,validation,2018-01-01
2611,ENLYFT DIGITAL SOLUTIONS PRIVATE LIMITED,2015,Pune,"Software, Virtual Reality",Digital Marketing Agency,None,None,0.0,validation,2018-01-01
2612,Scale Labs,2015,Delhi,"Software, Virtual Reality",Scale Labs is a cross border e-commerce solutions provider that drives global trade for brands.,None,None,1000000.0,validation,2018-01-01
2613,HungerBox,2015,Bangalore,"B2B, Food and Beverage, Food Delivery",HungerBox is a full stack B2B F&B technology company delivering food solutions for the corporates in India.,None,None,4500000.0,early traction,2018-01-01
2614,Biryani By Kilo,2015,Noida,"Catering, Food and Beverage, Food Delivery, Food Processing",BBK delivers both authentic taste of Hyderabadi and Lucknowi Biryani prepared in individual earthen Handis with the freshest ingredients.,None,None,1000000.0,validation,2018-01-01
2615,Wholesome Habits (EAT Anytime),2015,Mumbai,"Food and Beverage, Snack Food",Wholesome Habits (EAT Anytime) is a healthy snacks Company.,None,None,500000.0,validation,2018-01-01
2616,GoBumpr,2015,Mylapore,"Automotive, E-Commerce, Mobile",Car Service and Bike Service Mobile App,None,None,600000.0,validation,2018-01-01
2617,Fixpocket,2015,Ahmedabad,"Computer, Digital Marketing, Facilities Support Services, Graphic Design, Internet, Mobile Apps, Social Media Marketing, Web Development",Fixpocket is a internet-based startup.,None,None,250000.0,validation,2018-01-01
2618,edureka!,2015,Bangalore,"Android, Big Data, Blockchain, Cloud Computing, EdTech, Education, Information Technology, iOS, Training, Web Development","Edureka is the fastest growing online learning platform that offers live, instructor-led courses for professionals from various industries.",None,None,2000000.0,early traction,2018-01-01
2619,Hashtag Loyalty Private Limited,2015,Mumbai,"Analytics, CRM, Loyalty Programs, Machine Learning, Marketing Automation, Retail Technology, SaaS, Small and Medium Businesses",Hashtag Loyalty is a customer engagement and marketing automation tool for local businesses.,None,None,0.0,validation,2018-01-01
2620,Wow Express,2015,Mumbai,"Delivery, Information Technology, Mobile Apps","WOW, as customers react to his studiously taught, trained, polite and courteous nature.",None,None,4500000.0,early traction,2018-01-01
2621,ZunRoof,2015,Gurgaon,"Environmental Consulting, Renewable Energy",ZunRoof is a rooftop focused solar startup.,None,None,0.0,validation,2018-01-01
2622,Eggoz,2015,Indore,"Food and Beverage, Food Processing",Eggoz is a full-stack layer poultry business operator & service provider .,None,None,0.0,validation,2018-01-01
2623,Sqrrl Fintech,2015,Gurgaon,"Big Data, Business Intelligence, Financial Services, FinTech, Personal Finance",Personal Finance,None,None,1000000.0,validation,2018-01-01
2624,GalaxyCard,2015,Noida,"Finance, Financial Services, FinTech",GalaxyCard is a mobile based Instant credit card.,None,None,0.0,validation,2018-01-01
2625,IndiQube,2015,Bangalore,"Commercial Real Estate, Coworking, Office Administration, Real Estate",IndiQube is a provider of co-working spaces based in Bengaluru.,None,None,15000000.0,early traction,2018-01-01
2626,EGK Foods,2015,Mumbai,"Food and Beverage, Food Processing, Organic Food, Snack Food",A food processing enterprise registered with StartUp India .,None,None,0.0,validation,2018-01-01
2627,NirogStreet,2015,Gurgaon,"Apps, Health Care, Internet, Mobile Apps, Personal Health",NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,None,None,300000.0,validation,2018-01-01
2628,Pixr8,2015,Ghaziabad,"Digital Media, Incubators, Social Entrepreneurship",Pixr8 is a global media platform dedicated to Start-ups and business organisations for promoting entrepreneurship work.,None,None,50000.0,validation,2018-01-01
2629,Nivesh.com,2015,Noida,"Finance, Financial Services, Marketing",Nivesh.com is a mass market mutual funds investment platform.,None,None,0.0,validation,2018-01-01
2630,Theranosis Life Sciences,2015,Hyderabad,"Biotechnology, Health Care, Life Science, Medical Device",A fully functioning cell culture facility and molecular biology setup.,None,None,0.0,validation,2018-01-01
2631,Poshmiles Online Solutions Private Limited,2015,Bangalore,Travel,Poshmiles aims to help point travellers to long weekend trips at popular and undiscovered destinations based on budget & interest.,None,None,0.0,validation,2018-01-01
2632,Reculta,2015,Noida,"Education, Human Resources",A campus recruitment solution provider.,None,None,0.0,validation,2018-01-01
2633,Orbo.ai,2015,Mumbai,Internet,Orbo is a computer vision and deep facial technology company.,None,None,0.0,validation,2018-01-01
2634,Inntot Technologies,2015,Kochi,Consumer Goods and Services,"Inntot Technologies, is a technology driven company.",None,None,0.0,validation,2018-01-01
2635,Zoctr Health,2015,Powai,"Apps, Health Care, Hospital, Mobile Apps",Zoctr Health Network is a first-of-its kind pan-India Home & Telehealth Company,None,None,0.0,validation,2018-01-01
2636,Hey Deedee,2015,Mumbai,"Delivery Service, Logistics, Service Industry",Hey Deedee is a Mumbai-based company that provides solutions to parcel delivery problems.,None,None,0.0,validation,2018-01-01
2637,DigiConnectt Technologys,2015,Bangalore,"Information Services, Information Technology",A technology company focused on introducing products that will accelerate and enhance sales productivity and effectiveness .,None,None,125000.0,validation,2018-01-01
2638,Locus.sh,2015,Bangalore,"Big Data, Data Visualization, Logistics, Software",Locus is an intelligent logistics automation platform.,None,None,4000000.0,early traction,2018-01-01
